Date	Price	Open	High	Low	Vol	Change 	Nothing
2020/04/09	7284	7361	7361	7140	104000000	-1.05	0
2020/04/08	7361	7186	7396	7153	98394000	2.45	0
2020/04/07	7185	7332	7440	7102	132000000	-2.01	0
2020/04/06	7332	6773	7335	6770	153000000	8.26	0
2020/04/05	6773	6858	6889	6686	84233000	-1.23	0
2020/04/04	6857	6736	6959	6679	105000000	1.80	0
2020/04/03	6736	6800	7026	6624	135000000	-0.95	0
2020/04/02	6801	6639	7183	6568	174000000	2.44	0
2020/04/01	6639	6412	6661	6157	140000000	3.52	0
2020/03/31	6413	6391	6513	6346	105000000	0.34	0
2020/03/30	6391	5890	6577	5873	143000000	8.50	0
2020/03/29	5890	6233	6259	5889	91617000	-5.51	0
2020/03/28	6234	6373	6374	6047	126000000	-2.19	0
2020/03/27	6373	6726	6814	6322	116000000	-5.23	0
2020/03/26	6725	6678	6773	6542	118000000	0.69	0
2020/03/25	6679	6745	6930	6475	152000000	-0.97	0
2020/03/24	6745	6469	6814	6381	173000000	4.26	0
2020/03/23	6469	5822	6565	5711	188000000	11.11	0
2020/03/22	5822	6187	6394	5771	148000000	-5.89	0
2020/03/21	6186	6206	6438	5887	164000000	-0.31	0
2020/03/20	6205	6172	6858	5748	222000000	0.54	0
2020/03/19	6172	5359	6380	5256	218000000	15.12	0
2020/03/18	5361	5261	5373	5021	180000000	1.91	0
2020/03/17	5261	5030	5433	4947	189000000	4.59	0
2020/03/16	5030	5366	5369	4478	255000000	-6.27	0
2020/03/15	5366	5183	5863	5121	161000000	3.54	0
2020/03/14	5183	5589	5635	5072	169000000	-7.19	0
2020/03/13	5584	4815	5934	3870	417000000	15.71	0
2020/03/12	4826	7935	7963	4547	322000000	-39.18	0
2020/03/11	7935	7892	7977	7606	110000000	0.56	0
2020/03/10	7891	7933	8146	7740	120000000	-0.53	0
2020/03/09	7933	8036	8159	7649	154000000	-1.26	0
2020/03/08	8034	8888	8888	8015	111000000	-9.61	0
2020/03/07	8888	9134	9181	8849	75065000	-2.70	0
2020/03/06	9135	9061	9165	9005	104000000	0.82	0
2020/03/05	9060	8758	9147	8752	95076000	3.45	0
2020/03/04	8758	8761	8840	8680	75969000	-0.04	0
2020/03/03	8761	8906	8912	8669	101000000	-1.61	0
2020/03/02	8905	8538	8962	8503	102000000	4.27	0
2020/03/01	8540	8544	8737	8437	78405000	-0.04	0
2020/02/29	8544	8697	8794	8540	68344000	-1.77	0
2020/02/28	8698	8820	8899	8452	108000000	-1.37	0
2020/02/27	8819	8800	8968	8539	113000000	0.21	0
2020/02/26	8800	9317	9368	8672	132000000	-5.55	0
2020/02/25	9317	9663	9672	9270	93797000	-3.57	0
2020/02/24	9663	9943	9981	9507	98000000	-2.82	0
2020/02/23	9943	9656	9966	9653	77588000	2.97	0
2020/02/22	9656	9685	9707	9570	58988000	-0.30	0
2020/02/21	9685	9602	9747	9575	71661000	0.85	0
2020/02/20	9602	9612	9681	9449	87080000	-0.07	0
2020/02/19	9609	10159	10231	9424	90595000	-5.40	0
2020/02/18	10158	9702	10230	9602	94591000	4.71	0
2020/02/17	9701	9932	9952	9469	96188000	-2.32	0
2020/02/16	9932	9907	10056	9655	80891000	0.25	0
2020/02/15	9908	10336	10370	9832	80881000	-4.12	0
2020/02/14	10333	10236	10372	10125	73251000	0.96	0
2020/02/13	10235	10322	10483	10117	94030000	-0.80	0
2020/02/12	10318	10229	10436	10229	80325000	0.86	0
2020/02/11	10230	9854	10314	9725	79128000	3.81	0
2020/02/10	9854	10152	10182	9775	78122000	-2.93	0
2020/02/09	10152	9895	10157	9883	61735000	2.59	0
2020/02/08	9896	9817	9931	9673	55131000	0.78	0
2020/02/07	9819	9772	9873	9739	60896000	0.48	0
2020/02/06	9772	9612	9855	9536	77867000	1.67	0
2020/02/05	9612	9194	9727	9180	77146000	4.54	0
2020/02/04	9194	9297	9348	9194	65168000	-1.10	0
2020/02/03	9297	9335	9583	9243	70139000	-0.41	0
2020/02/02	9335	9382	9465	9183	68337000	-0.50	0
2020/02/01	9382	9349	9459	9302	45842000	0.35	0
2020/01/31	9349	9508	9525	9222	63337000	-1.66	0
2020/01/30	9507	9299	9569	9209	76521000	2.24	0
2020/01/29	9299	9377	9429	9251	74988000	-0.84	0
2020/01/28	9377	8867	9390	8867	95420000	5.76	0
2020/01/27	8867	8608	8983	8586	70645000	3.01	0
2020/01/26	8608	8342	8608	8305	46834000	3.19	0
2020/01/25	8342	8440	8448	8277	44400000	-1.17	0
2020/01/24	8440	8405	8522	8243	61702000	0.41	0
2020/01/23	8405	8679	8687	8310	72267000	-3.15	0
2020/01/22	8679	8733	8805	8611	50906000	-0.62	0
2020/01/21	8733	8642	8770	8524	54020000	1.05	0
2020/01/20	8642	8706	8740	8539	59906000	-0.74	0
2020/01/19	8706	8916	9184	8553	97501000	-2.36	0
2020/01/18	8916	8913	8982	8815	62774000	0.04	0
2020/01/17	8913	8727	9005	8676	79411000	2.13	0
2020/01/16	8727	8818	8850	8606	74832000	-1.04	0
2020/01/15	8818	8828	8904	8616	117000000	-0.12	0
2020/01/14	8829	8111	8899	8111	148000000	8.85	0
2020/01/13	8111	8188	8197	8068	61066000	-0.93	0
2020/01/12	8188	8023	8190	7973	59522000	2.04	0
2020/01/11	8024	8188	8263	8008	77675000	-1.99	0
2020/01/10	8187	7843	8187	7698	105000000	4.40	0
2020/01/09	7842	8060	8066	7779	78650000	-2.70	0
2020/01/08	8060	8154	8436	7901	119000000	-1.18	0
2020/01/07	8156	7759	8182	7754	101000000	5.11	0
2020/01/06	7759	7373	7783	7367	78675000	5.24	0
2020/01/05	7373	7377	7501	7346	62814000	-0.06	0
2020/01/04	7377	7345	7433	7291	52391000	0.46	0
2020/01/03	7343	6967	7403	6884	93629000	5.40	0
2020/01/02	6967	7200	7210	6901	63278000	-3.23	0
2020/01/01	7200	7196	7259	7180	42028000	0.05	0
2019/12/31	7196	7262	7331	7167	58660000	-0.90	0
2019/12/30	7262	7398	7421	7244	60611000	-1.84	0
2019/12/29	7398	7322	7519	7303	61169000	1.04	0
2019/12/28	7322	7262	7376	7257	61096000	0.82	0
2019/12/27	7262	7211	7294	7129	71807000	0.70	0
2019/12/26	7211	7225	7414	7177	79509000	-0.19	0
2019/12/25	7225	7268	7542	7151	62541000	-0.60	0
